,city,name,reviews,rating,review_id,review_text,review_rating,review_datetime_utc
3,Calgary,African Variety Store,21,4,ChZDSUhNMG9nS0VJQ0FnSUNhOWN6TlJ3EAE,Very friendly people from my home country ethiopian.  Always good service and friendly community.,5,8/6/2021 1:33
4,Calgary,African Variety Store,21,4,ChdDSUhNMG9nS0VJQ0FnSURZbmZ6d2tBRRAB,It's best place to get Ethiopian spices and food staffs,5,5/18/2019 20:55
5,Calgary,African Variety Store,21,4,ChZDSUhNMG9nS0VJQ0FnSUNpbnU3LVl3EAE,It was a great fresh whole lamb,5,11/3/2020 16:23
6,Calgary,African Variety Store,21,4,ChZDSUhNMG9nS0VJQ0FnSUNCLWRXNllREAE,"Their berbere is not the right one,,,,",1,12/30/2022 9:03
10,Calgary,African Choice Market,93,4.2,ChZDSUhNMG9nS0VJQ0FnSURjOEthWFlBEAE,"I have been a long time customer of this store and have always had great experience. However, recently, with the change in staffing my experiences has been less than pleasant. Today, I attended to do my regular shopping as usual and noticed that their prices has increase drastically. I was buying this items for my mom, who is not in Calgary. I bought a pepper, even though there was no price anywhere the item was located. It occurred to me after leaving the store to check with my mom whether or not she would be fine with the 10 dollar price on such a small amount of pepper. She said not to buy it and to return it. I returned to the store less than 5 minutes later only for them to be telling me that they are not doing returns due to covid 19. Which is understandable. However, this needs to be made aware to all customers when arriving at the door not behind your counter where no one ever thought to look. further, there is nothing preventing your store associates  mention that to every customers to further reinforce that information. After the store associate realized that I was going to stay there as long as it takes for her to refund my money, she did. This experience left a bad taste in my mouth and would like to see improvement.",1,5/17/2020 0:19
12,Calgary,African Choice Market,93,4.2,ChZDSUhNMG9nS0VJQ0FnSURCX2QzTFVnEAE,They have garri and other African food products. You will enjoy visiting here.,4,1/27/2023 0:15
13,Calgary,African Choice Market,93,4.2,ChZDSUhNMG9nS0VJQ0FnSURDczRMYVZ3EAE,"Hours of operation is bad, open at 11? At least 10 would be great. Especially for those of us who like to start cooking in the morning, if it’s something you need from here buy it ahead lol
The comment below about $10 pepper lol me too my bf bought it and later told me the price, I screamed! African stores always have no refund policies (what is that about🙄) They lied about Covid reason and plus the peppers are in the package. if superstore would take something I touched back, why can’t they?
Overall service is great though, just need to improve the way they run certain things!",4,2/19/2021 15:52
14,Calgary,African Choice Market,31,4.8,ChdDSUhNMG9nS0VJQ0FnSUNoNGY3WWpRRRAB,"First time ordering to deliver. First- the customer service is quite excellent. Ms Bukola who i’m assuming is the owner was very pleasant through the ordering process & quite patient as we had a long list of items. She was also very swift & attentive. On delivery day, i appreciated being kept up to date with delivery status and I was pleasantly surprised when the items came. Very well packaged and presentable. This was a valentines day gift so it was so easy to send off to the recipient. We have also visited the NE store a few times & its always been a great experience. Pleasant service, clean store, no funny smells and all round A*. Kudos to your team. We just moved to Calgary from another province and this is now our go to spot :)",5,2/15/2023 2:51
15,Calgary,African Choice Market,31,4.8,ChZDSUhNMG9nS0VJQ0FnSUR4cXNYOVRREAE,Great place to buy your African stuffs,5,6/6/2023 3:55
16,Calgary,African Choice Market,31,4.8,ChZDSUhNMG9nS0VJQ0FnSUNKNC1TQ0dBEAE,"Great place, for Africans and non-Africans.",5,7/4/2023 4:28
