,city,name,reviews,rating,review_id,review_text,review_rating,review_datetime_utc,Labels
0,Calgary,African Variety Store,21,4,ChZDSUhNMG9nS0VJQ0FnSUN1ck1tNGR3EAE,You will find Ethiopian traditional items and raw materials (teff and wheat) for Injera and bread,5,7/22/2022 20:52,1
1,Calgary,African Variety Store,21,4,ChZDSUhNMG9nS0VJQ0FnSURTeC1ETGJ3EAE,"According to AHS found dead mouse in store with mouse dropping, meat thawing at room temperature. Foodborne pathogens multiply quickly at room temperature. With food born pathogens they do not neccesarily have a smell or taste off to be bad. Please learn from this.",1,1/11/2021 15:00,0
2,Calgary,African Variety Store,21,4,ChdDSUhNMG9nS0VJQ0FnSUNrenF6SzB3RRAB,"Good selection of ethiopian  species , grain, cultural items. You can also find   meat , farm chicken and whole lamb",5,6/22/2019 6:24,1
7,Calgary,African Choice Market,93,4.2,ChdDSUhNMG9nS0VJQ0FnSUNSbmJmNTZnRRAB,"I went to return an item (white seed melon) I bought less than 10 days with proof of my receipt. The owner of the store told me I wouldn’t get a refund due to “so called food handling”. This was a dry product in its original packaging and unopened. The product had no expiry date on the package when I bought it, the receipt had no return policy whatsoever. So what gives them the right to tell me about handling?

This is a store I have seen expired palm oils on the shelf severally but the store owner had the audacity to preach to me about food handling. I want to point out the double standard and hypocrisy. I’m definitely boycotting that store but will file a complaint to Consumer Protection Services. Shame on them!",1,4/8/2023 14:48,0
8,Calgary,African Choice Market,93,4.2,ChdDSUhNMG9nS0VJQ0FnSUNSdklQaHpBRRAB,"Very nice atmosphere, the madam there was very polite and the prices were really good. I will definitely be coming here again",5,3/27/2023 23:33,1
9,Calgary,African Choice Market,93,4.2,ChdDSUhNMG9nS0VJQ0FnSURldTdub293RRAB,"The 2 stars is for Great staff, 0 star for bad product. I bought African Choice palm Oil ended up ruining my food. Palm Oil in bean porridge turned out vegetable oil in beans with bad taste and smell. My good intentions of providing good food for my family was tinted badly by an African Choice brand palm Oil wasting by hard earned resources.😡",2,10/20/2022 13:54,0
11,Calgary,African Choice Market,93,4.2,ChZDSUhNMG9nS0VJQ0FnSUNLMmZXNFpREAE,"Being a business within other businesses, parking was a nightmare! The store manager was such a warm and friendly lady, helped with the shopping experience. The aisles are pretty small and could be really inconvenient for multiple shoppers. I had a good experience at the store, I won't mind shopping there again.",3,4/11/2021 6:52,0
17,Calgary,African Choice Market,31,4.8,ChdDSUhNMG9nS0VJQ0FnSUQtNGZ5RDlBRRAB,"I love this place so much, great customer service ! Chisom is super nice. Thank you",5,12/1/2022 22:02,1
20,Calgary,African Choice Market,31,4.8,ChdDSUhNMG9nS0VJQ0FnSUNoNW9udHhRRRAB,Good Store for Nigerian goods.,4,2/12/2023 1:17,1
21,Calgary,African Shop Calgary (E.F.C. Afro-Caribbean Inc),15,5,ChZDSUhNMG9nS0VJQ0FnSURCd3NPZUh3EAE,"Our one stop shop for everything we need from an African store. Food is fresh and authentic, customer service is top notch. Best part is, it’s only about a 13 minutes drive from Chestermere so a quick drive is all it takes for me to make some delish meals😋😋.",5,1/15/2023 0:55,1
25,Calgary,African Shop Calgary (E.F.C. Afro-Caribbean Inc),15,5,ChdDSUhNMG9nS0VJQ0FnSURLMy1fYmp3RRAB,"I absolutely love it! My one stop shop for all my home land food needs. They are very affordable, clean and organized. Love it!",5,5/21/2021 22:39,1
26,Calgary,African Shop Calgary (E.F.C. Afro-Caribbean Inc),15,5,ChdDSUhNMG9nS0VJQ0FnSURpa2JlbG5nRRAB,Best african store in town. Authentic African food and very affordable. Best customer service.,5,12/6/2020 1:49,1
29,Calgary,Sage Meadows Market African Store,58,4.2,ChZDSUhNMG9nS0VJQ0FnSUN4dkxDSFFREAE,"Good store. I buy regularly there. However, there is an attendant there, as at May, 2023. Very unwelcoming. Seem like a frustrated fellow. Terrible customer service. I don't intend to return there anytime soon",2,5/13/2023 0:00,0
31,Calgary,Sage Meadows Market African Store,58,4.2,ChZDSUhNMG9nS0VJQ0FnSUNwMjRUS05BEAE,Unfriendly / unwelcoming store attendant (the lady). She needs to do better. Store is neat though and we'll organized,2,8/11/2023 1:20,0
32,Calgary,Sage Meadows Market African Store,58,4.2,ChdDSUhNMG9nS0VJQ0FnSURoZ0p2MndBRRAB,"This store will cheat you!! The staff always inflate prices of the items, it has happened to me thrice. I will always call her out before she corrects it, don’t even get me started on the rude man there. Recently they’ve started removing price tags from their products so you have no way of knowing the actual price and then they can tell you whatever they like. I won’t be shopping here anymore and I’d advise you not to.",1,2/26/2023 15:39,0
33,Calgary,Sage Meadows Market African Store,58,4.2,ChZDSUhNMG9nS0VJQ0FnSUNPeHNlVUtnEAE,"Be careful in this store they inflate bills so always check your receipts.I have experienced it twice in this store and the woman claimed it was a mistake.Always check your receipt with the things you bought.The first time I went to this store a lady came back to complain that she was charged for pepper twice,the owner screamed mistake and refunded ,I didn’t believe her so I stylishly followed  the woman who told me she has done it to her before.I just called the person that referred me to this store and the guy said he has experienced it too although not from the woman but her staff and they never refunded the money to him.I will post on groups too to create awareness this is so bad.Yesterday I bought things and she inflated my bill with 5 dollars as usual and also screamed mistake 😳,although she refunded me But I was so angry that I said I will create awareness on this.As you can see from my receipt she added bread twice and the 5 dollars was given back to me when I went back.",1,6/8/2022 15:24,0
