name,review_text
Africart Plus More,They have a wide variety of unique and interesting products. The owners are very personable and well-versed on what seems to be every article they have there. They are definitely one of the best priced shops for authentic African textiles and clothing. They have donated to community projects & charities annually and including Autism Edmonton through 5 Artists 1 Love!
Africart Plus More,"We shoppers need to think deeply and shop creatively. It is worth your money, time and effort shopping at Africart  located in  Bonnie Doon mall. This store has African artifacts, carvings, drums, colourful ,durable clothing, purses, jewelry, much more, sky is the limit. The trend is buy materials made in factories not by hand. Provenance is an artwork's history of ownership. Information about the provenance of an individual work of art sheds light on its historical, social, and economic context as well as its critical fortunes through time.Creative thinkers and makers provide their communities with joy, interaction, and inspiration, but they also give thoughtful critique to our political, economic, and social systems  pushing communities to engage thoughtfully and make steps toward social progress.-This truth--is from an article. We society need to shop creatively to buy art work from shops like Africart where we get valuable information, quality service and our money's worth of priceless items. Art cannot be measured by its price but measured as follows: Art reflects cultural values, beliefs and identity and helps to preserve the many different communities that make up our world. I bought hand carved turtles, elephants, and beautiful and colorful dresses. I highly recommend it is worth your time to visit this unique store and receive excellent customer service from knowledgeable and caring staff."
Africart Plus More,My favourite store in Bonnie Doon. Have visited several times in the last few years and the lady owner somehow always remembers my wife and I. Very friendly and great customer service!
Africart Plus More,Wonderful customer service. Felt like a part of the family. Would visit many more times if I lived here.
Africart Plus More,Great selection and friendly customer service!
Habesha African Market,Thier is a resteraunt at this same location not easy to find not sure of the name but staff will gladly guide you to it. The food is Ethiopian and Eritrean and it's very fresh seems to be made with tons of love. They play traditional music ?? ?? and cook authentic east African cuisine. I was blown away by the good service our waitress was nice attentive and the food was quickly made. Drinks were nice and professionally made their are pool tables so it's like resteraunt meets lounge. The coffee ?? ?? was really good and strong true coffie lovers will appreciate the  experience as a you recieve a near espresso like coffie on a decorative plate with burning insense. They treat you like family make you feel welcome and it's like really like a lounge. Its a laid back feel its casual and the people are nice I strongly recommend visiting them and having a few drinks and playing pool. Cool place it's very new and it'll be a nice place during summers as they have many ideas for outside dining this summer..
Habesha African Market,"Great place to shop but make sure you check the expiry dates. The produce ranges from super fresh to questionable. Staff is super friendly and eager to assist. If you don't see what your looking for, just ask... some things aren't where you'd expect to find them. Their signature Habesha Ethiopian coffee, whole bean or custom grind is simply exquisite. A must try.
Habesha African Market ia a fresh food oasis in a food desert and a great place to buy a mango."
Habesha African Market,This store is very good customer service is great and I easily found what I wanted Also they are no longer a U-haul drop-off/pick-up location so dont go there it was very recent either this month or last month
Habesha African Market,It was a great place to shop if you need habesha stuff. There is nothing that you can not find. The staff were great and friendly. The owner as well. All in all that place is enough to make you feel like that you are in one of market place in Addis.
Habesha African Market,"Good customer service. Welcoming you warmly. Overall, it's a good place for groceries shopping"
