query,name,google_id,place_id,location_link,reviews_link,reviews,rating,review_id,author_link,author_title,author_id,author_image,review_text,review_img_url,review_img_urls,review_questions,review_photo_ids,owner_answer,owner_answer_timestamp,owner_answer_timestamp_datetime_utc,review_link,review_rating,review_timestamp,review_datetime_utc,review_likes,reviews_id,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,reviews_per_score,review_questions_Service,review_questions_Meal type,review_questions_Price per person,review_questions_Food,review_questions_Atmosphere,review_questions_Recommended dishes,review_questions_Visited on,review_questions_Wait time,review_questions_Reservation recommended,review_questions_Kid-friendliness,review_questions_None,review_questions_Wheelchair accessibility,review_questions_Vegetarian options,review_questions_Parking options
"african goods shop, Calgary (Braeside / Woodbine), AB, CA",African Variety Store,0x53717b8cf1d60fe3:0x2a9cb2605ac6bb43,ChIJ4w_W8Yx7cVMRQ7vGWmCynCo,"https://www.google.com/maps/place/African+Variety+Store/@51.036668899999995,-113.9870637,14z/data=!4m8!1m2!2m1!1sAfrican+Variety+Store!3m4!1s0x53717b8cf1d60fe3:0x2a9cb2605ac6bb43!8m2!3d51.036668899999995!4d-113.9870637",,21.0,4.0,ChZDSUhNMG9nS0VJQ0FnSUN1ck1tNGR3EAE,https://www.google.com/maps/contrib/102774139939563121758?hl=en-US,Matyas Debele Feyissa,102774139939563121758,https://lh3.googleusercontent.com/a-/AD_cMMSadvb9JDbUjC4Ue1rQJPC9-2AOI131njEE-hNc5mIHQw8=s120-c-rp-mo-ba4-br100,You will find Ethiopian traditional items and raw materials (teff and wheat) for Injera and bread,,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN1ck1tNGR3EAE!2m1!1s0x0:0x2a9cb2605ac6bb43!3m1!1s2@1:CIHM0ogKEICAgICurMm4dw%7CCgwI-5vslgYQuMOP_gE%7C?hl=en-US,5.0,1658523131.0,07/22/2022 20:52:11,0.0,3070525172869413699,4.0,1.0,1.0,1.0,14.0,,,,,,,,,,,,,,,
"african goods shop, Calgary (Braeside / Woodbine), AB, CA",African Variety Store,0x53717b8cf1d60fe3:0x2a9cb2605ac6bb43,ChIJ4w_W8Yx7cVMRQ7vGWmCynCo,"https://www.google.com/maps/place/African+Variety+Store/@51.036668899999995,-113.9870637,14z/data=!4m8!1m2!2m1!1sAfrican+Variety+Store!3m4!1s0x53717b8cf1d60fe3:0x2a9cb2605ac6bb43!8m2!3d51.036668899999995!4d-113.9870637",,21.0,4.0,ChZDSUhNMG9nS0VJQ0FnSURTeC1ETGJ3EAE,https://www.google.com/maps/contrib/111482546669579059659?hl=en-US,foodsafety KGB,111482546669579059659,https://lh3.googleusercontent.com/a/AAcHTtcedz-D2Bk_WDFs5I_APyS_l97PhuSrZt2DRNZASpIu=s120-c-rp-mo-br100,"According to AHS found dead mouse in store with mouse dropping, meat thawing at room temperature. Foodborne pathogens multiply quickly at room temperature. With food born pathogens they do not neccesarily have a smell or taste off to be bad. Please learn from this.",,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURTeC1ETGJ3EAE!2m1!1s0x0:0x2a9cb2605ac6bb43!3m1!1s2@1:CIHM0ogKEICAgIDSx-DLbw%7CCgwIiNDx_wUQ-M_qhAE%7C?hl=en-US,1.0,1610377224.0,01/11/2021 15:00:24,1.0,3070525172869413699,4.0,1.0,1.0,1.0,14.0,,,,,,,,,,,,,,,
"african goods shop, Calgary (Braeside / Woodbine), AB, CA",African Variety Store,0x53717b8cf1d60fe3:0x2a9cb2605ac6bb43,ChIJ4w_W8Yx7cVMRQ7vGWmCynCo,"https://www.google.com/maps/place/African+Variety+Store/@51.036668899999995,-113.9870637,14z/data=!4m8!1m2!2m1!1sAfrican+Variety+Store!3m4!1s0x53717b8cf1d60fe3:0x2a9cb2605ac6bb43!8m2!3d51.036668899999995!4d-113.9870637",,21.0,4.0,ChdDSUhNMG9nS0VJQ0FnSUNrenF6SzB3RRAB,https://www.google.com/maps/contrib/115118503829429776907?hl=en-US,tigist wedaj,115118503829429776907,https://lh3.googleusercontent.com/a/AAcHTte8cOLxYrNsUUcS7g7ssacbO0Ht0avEV8k0-ILEpeK9=s120-c-rp-mo-ba2-br100,"Good selection of ethiopian  species , grain, cultural items. You can also find   meat , farm chicken and whole lamb",,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNrenF6SzB3RRAB!2m1!1s0x0:0x2a9cb2605ac6bb43!3m1!1s2@1:CIHM0ogKEICAgICkzqzK0wE%7CCgwIlJO36AUQsISEsQE%7C?hl=en-US,5.0,1561184660.0,06/22/2019 06:24:20,0.0,3070525172869413699,4.0,1.0,1.0,1.0,14.0,,,,,,,,,,,,,,,
"african goods shop, Calgary (Braeside / Woodbine), AB, CA",African Variety Store,0x53717b8cf1d60fe3:0x2a9cb2605ac6bb43,ChIJ4w_W8Yx7cVMRQ7vGWmCynCo,"https://www.google.com/maps/place/African+Variety+Store/@51.036668899999995,-113.9870637,14z/data=!4m8!1m2!2m1!1sAfrican+Variety+Store!3m4!1s0x53717b8cf1d60fe3:0x2a9cb2605ac6bb43!8m2!3d51.036668899999995!4d-113.9870637",,21.0,4.0,ChZDSUhNMG9nS0VJQ0FnSUNhOWN6TlJ3EAE,https://www.google.com/maps/contrib/112616368897916090209?hl=en-US,Yohannes Zelleke,112616368897916090209,https://lh3.googleusercontent.com/a/AAcHTtcnIxYEERjcakCTLh_iXDC7XztpW7AKVgea_kxxyBm5=s120-c-rp-mo-br100,Very friendly people from my home country ethiopian.  Always good service and friendly community.,,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNhOWN6TlJ3EAE!2m1!1s0x0:0x2a9cb2605ac6bb43!3m1!1s2@1:CIHM0ogKEICAgICa9czNRw%7CCgwIg6OyiAYQ0ODqoQI%7C?hl=en-US,5.0,1628213635.0,08/06/2021 01:33:55,0.0,3070525172869413699,4.0,1.0,1.0,1.0,14.0,,,,,,,,,,,,,,,
"african goods shop, Calgary (Braeside / Woodbine), AB, CA",African Variety Store,0x53717b8cf1d60fe3:0x2a9cb2605ac6bb43,ChIJ4w_W8Yx7cVMRQ7vGWmCynCo,"https://www.google.com/maps/place/African+Variety+Store/@51.036668899999995,-113.9870637,14z/data=!4m8!1m2!2m1!1sAfrican+Variety+Store!3m4!1s0x53717b8cf1d60fe3:0x2a9cb2605ac6bb43!8m2!3d51.036668899999995!4d-113.9870637",,21.0,4.0,ChdDSUhNMG9nS0VJQ0FnSURZbmZ6d2tBRRAB,https://www.google.com/maps/contrib/114366850688409883059?hl=en-US,Yehualashet Tekle,114366850688409883059,https://lh3.googleusercontent.com/a-/AD_cMMTROBPVwd4-X5mt7GDnzy1qnkvJE8f-RhmzfNiN-9NNBw=s120-c-rp-mo-ba4-br100,It's best place to get Ethiopian spices and food staffs,,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURZbmZ6d2tBRRAB!2m1!1s0x0:0x2a9cb2605ac6bb43!3m1!1s2@1:CIHM0ogKEICAgIDYnfzwkAE%7CCgwIwuKB5wUQ4IzDvQM%7C?hl=en-US,5.0,1558212930.0,05/18/2019 20:55:30,0.0,3070525172869413699,4.0,1.0,1.0,1.0,14.0,,,,,,,,,,,,,,,
"african goods shop, Calgary (Braeside / Woodbine), AB, CA",African Variety Store,0x53717b8cf1d60fe3:0x2a9cb2605ac6bb43,ChIJ4w_W8Yx7cVMRQ7vGWmCynCo,"https://www.google.com/maps/place/African+Variety+Store/@51.036668899999995,-113.9870637,14z/data=!4m8!1m2!2m1!1sAfrican+Variety+Store!3m4!1s0x53717b8cf1d60fe3:0x2a9cb2605ac6bb43!8m2!3d51.036668899999995!4d-113.9870637",,21.0,4.0,ChZDSUhNMG9nS0VJQ0FnSUNpbnU3LVl3EAE,https://www.google.com/maps/contrib/108694442612105272892?hl=en-US,KD,108694442612105272892,https://lh3.googleusercontent.com/a/AAcHTtehmheeRqHj8goM-dlr-XB5uXGJNzvurK6JCU969d5J=s120-c-rp-mo-ba4-br100,It was a great fresh whole lamb,https://lh5.googleusercontent.com/p/AF1QipMLiLd1b7Av_FfYosn28KwhKBolTnQILBcE55dh,https://lh5.googleusercontent.com/p/AF1QipMLiLd1b7Av_FfYosn28KwhKBolTnQILBcE55dh,,AF1QipMLiLd1b7Av_FfYosn28KwhKBolTnQILBcE55dh,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNpbnU3LVl3EAE!2m1!1s0x0:0x2a9cb2605ac6bb43!3m1!1s2@1:CIHM0ogKEICAgICinu7-Yw%7CCgsI6IeG_QUQ8MukUg%7C?hl=en-US,5.0,1604420584.0,11/03/2020 16:23:04,0.0,3070525172869413699,4.0,1.0,1.0,1.0,14.0,,,,,,,,,,,,,,,
"african goods shop, Calgary (Braeside / Woodbine), AB, CA",African Variety Store,0x53717b8cf1d60fe3:0x2a9cb2605ac6bb43,ChIJ4w_W8Yx7cVMRQ7vGWmCynCo,"https://www.google.com/maps/place/African+Variety+Store/@51.036668899999995,-113.9870637,14z/data=!4m8!1m2!2m1!1sAfrican+Variety+Store!3m4!1s0x53717b8cf1d60fe3:0x2a9cb2605ac6bb43!8m2!3d51.036668899999995!4d-113.9870637",,21.0,4.0,ChZDSUhNMG9nS0VJQ0FnSUNCLWRXNllREAE,https://www.google.com/maps/contrib/111957526214425606039?hl=en-US,Tsega Mehari,111957526214425606039,https://lh3.googleusercontent.com/a/AAcHTteG4nBC0kID87KAUUBH-kzlH0gNaF7pAwyiZUDlL9TE=s120-c-rp-mo-br100,"Their berbere is not the right one,,,,",,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNCLWRXNllREAE!2m1!1s0x0:0x2a9cb2605ac6bb43!3m1!1s2@1:CIHM0ogKEICAgICB-dW6YQ%7CCgwI29K6nQYQ2IurpQM%7C?hl=en-US,1.0,1672391003.0,12/30/2022 09:03:23,0.0,3070525172869413699,4.0,1.0,1.0,1.0,14.0,,,,,,,,,,,,,,,
"african goods shop, Calgary (Brentwood / Collingwood / Nose Hill), AB, CA",African Choice Market,0x53716f47434008f3:0x8912f0f1c78be8,ChIJ8whAQ0dvcVMR6IvH8fASiQA,"https://www.google.com/maps/place/African+Choice+Market/@51.1015867,-114.13818959999999,14z/data=!4m8!1m2!2m1!1sAfrican+Choice+Market!3m4!1s0x53716f47434008f3:0x8912f0f1c78be8!8m2!3d51.1015867!4d-114.13818959999999","https://search.google.com/local/reviews?placeid=ChIJ8whAQ0dvcVMR6IvH8fASiQA&q=african+goods+shop,+Calgary+(Brentwood+/+Collingwood+/+Nose+Hill),+AB,+CA&authuser=0&hl=en&gl=CA",93.0,4.2,ChdDSUhNMG9nS0VJQ0FnSUNSbmJmNTZnRRAB,https://www.google.com/maps/contrib/110309459722100861160?hl=en-US,Vk,110309459722100861160,https://lh3.googleusercontent.com/a/AAcHTtf67sEhdlJLDjMPSu4ac2l-cs6TmCsPOqJ6xQFFbQUZ=s120-c-rp-mo-br100,"I went to return an item (white seed melon) I bought less than 10 days with proof of my receipt. The owner of the store told me I wouldn’t get a refund due to “so called food handling”. This was a dry product in its original packaging and unopened. The product had no expiry date on the package when I bought it, the receipt had no return policy whatsoever. So what gives them the right to tell me about handling?

This is a store I have seen expired palm oils on the shelf severally but the store owner had the audacity to preach to me about food handling. I want to point out the double standard and hypocrisy. I’m definitely boycotting that store but will file a complaint to Consumer Protection Services. Shame on them!",,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSbmJmNTZnRRAB!2m1!1s0x0:0x8912f0f1c78be8!3m1!1s2@1:CIHM0ogKEICAgICRnbf56gE%7CCgsIyf3FoQYQ4PedKw%7C?hl=en-US,1.0,1680965321.0,04/08/2023 14:48:41,0.0,38582897867197416,5.0,2.0,14.0,22.0,50.0,,,,,,,,,,,,,,,
"african goods shop, Calgary (Brentwood / Collingwood / Nose Hill), AB, CA",African Choice Market,0x53716f47434008f3:0x8912f0f1c78be8,ChIJ8whAQ0dvcVMR6IvH8fASiQA,"https://www.google.com/maps/place/African+Choice+Market/@51.1015867,-114.13818959999999,14z/data=!4m8!1m2!2m1!1sAfrican+Choice+Market!3m4!1s0x53716f47434008f3:0x8912f0f1c78be8!8m2!3d51.1015867!4d-114.13818959999999","https://search.google.com/local/reviews?placeid=ChIJ8whAQ0dvcVMR6IvH8fASiQA&q=african+goods+shop,+Calgary+(Brentwood+/+Collingwood+/+Nose+Hill),+AB,+CA&authuser=0&hl=en&gl=CA",93.0,4.2,ChdDSUhNMG9nS0VJQ0FnSUNSdklQaHpBRRAB,https://www.google.com/maps/contrib/108780202024556248014?hl=en-US,Chukwukelu Marvelous,108780202024556248014,https://lh3.googleusercontent.com/a-/AD_cMMQn3Y_Wb5L6LUY_ECq_qdsQuJpt3i5f-t3S5p69i0AXZQs=s120-c-rp-mo-ba3-br100,"Very nice atmosphere, the madam there was very polite and the prices were really good. I will definitely be coming here again",,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSdklQaHpBRRAB!2m1!1s0x0:0x8912f0f1c78be8!3m1!1s2@1:CIHM0ogKEICAgICRvIPhzAE%7CCgsItc-IoQYQiM2RBA%7C?hl=en-US,5.0,1679959989.0,03/27/2023 23:33:09,0.0,38582897867197416,5.0,2.0,14.0,22.0,50.0,,,,,,,,,,,,,,,
"african goods shop, Calgary (Brentwood / Collingwood / Nose Hill), AB, CA",African Choice Market,0x53716f47434008f3:0x8912f0f1c78be8,ChIJ8whAQ0dvcVMR6IvH8fASiQA,"https://www.google.com/maps/place/African+Choice+Market/@51.1015867,-114.13818959999999,14z/data=!4m8!1m2!2m1!1sAfrican+Choice+Market!3m4!1s0x53716f47434008f3:0x8912f0f1c78be8!8m2!3d51.1015867!4d-114.13818959999999","https://search.google.com/local/reviews?placeid=ChIJ8whAQ0dvcVMR6IvH8fASiQA&q=african+goods+shop,+Calgary+(Brentwood+/+Collingwood+/+Nose+Hill),+AB,+CA&authuser=0&hl=en&gl=CA",93.0,4.2,ChdDSUhNMG9nS0VJQ0FnSURldTdub293RRAB,https://www.google.com/maps/contrib/104749947147857394947?hl=en-US,Comfort Festus-Ari,104749947147857394947,https://lh3.googleusercontent.com/a/AAcHTtfKvDrrMRBvYibNewQ6b_1hMZr3oL7F4lSq0n2W-gEV=s120-c-rp-mo-br100,"The 2 stars is for Great staff, 0 star for bad product. I bought African Choice palm Oil ended up ruining my food. Palm Oil in bean porridge turned out vegetable oil in beans with bad taste and smell. My good intentions of providing good food for my family was tinted badly by an African Choice brand palm Oil wasting by hard earned resources.😡",,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURldTdub293RRAB!2m1!1s0x0:0x8912f0f1c78be8!3m1!1s2@1:CIHM0ogKEICAgIDeu7noowE%7CCgwIiabFmgYQkP-L4AI%7C?hl=en-US,2.0,1666274057.0,10/20/2022 13:54:17,0.0,38582897867197416,5.0,2.0,14.0,22.0,50.0,,,,,,,,,,,,,,,
