,city,name,reviews,rating,review_id,review_text,review_rating,review_datetime_utc
0,Calgary,African Variety Store,21.0,4.0,ChZDSUhNMG9nS0VJQ0FnSUN1ck1tNGR3EAE,You will find Ethiopian traditional items and raw materials (teff and wheat) for Injera and bread,5.0,07/22/2022 20:52:11
1,Calgary,African Variety Store,21.0,4.0,ChZDSUhNMG9nS0VJQ0FnSURTeC1ETGJ3EAE,"According to AHS found dead mouse in store with mouse dropping, meat thawing at room temperature. Foodborne pathogens multiply quickly at room temperature. With food born pathogens they do not neccesarily have a smell or taste off to be bad. Please learn from this.",1.0,01/11/2021 15:00:24
2,Calgary,African Variety Store,21.0,4.0,ChdDSUhNMG9nS0VJQ0FnSUNrenF6SzB3RRAB,"Good selection of ethiopian  species , grain, cultural items. You can also find   meat , farm chicken and whole lamb",5.0,06/22/2019 06:24:20
3,Calgary,African Variety Store,21.0,4.0,ChZDSUhNMG9nS0VJQ0FnSUNhOWN6TlJ3EAE,Very friendly people from my home country ethiopian.  Always good service and friendly community.,5.0,08/06/2021 01:33:55
4,Calgary,African Variety Store,21.0,4.0,ChdDSUhNMG9nS0VJQ0FnSURZbmZ6d2tBRRAB,It's best place to get Ethiopian spices and food staffs,5.0,05/18/2019 20:55:30
5,Calgary,African Variety Store,21.0,4.0,ChZDSUhNMG9nS0VJQ0FnSUNpbnU3LVl3EAE,It was a great fresh whole lamb,5.0,11/03/2020 16:23:04
6,Calgary,African Variety Store,21.0,4.0,ChZDSUhNMG9nS0VJQ0FnSUNCLWRXNllREAE,"Their berbere is not the right one,,,,",1.0,12/30/2022 09:03:23
7,Calgary,African Choice Market,93.0,4.2,ChdDSUhNMG9nS0VJQ0FnSUNSbmJmNTZnRRAB,"I went to return an item (white seed melon) I bought less than 10 days with proof of my receipt. The owner of the store told me I wouldn’t get a refund due to “so called food handling”. This was a dry product in its original packaging and unopened. The product had no expiry date on the package when I bought it, the receipt had no return policy whatsoever. So what gives them the right to tell me about handling?

This is a store I have seen expired palm oils on the shelf severally but the store owner had the audacity to preach to me about food handling. I want to point out the double standard and hypocrisy. I’m definitely boycotting that store but will file a complaint to Consumer Protection Services. Shame on them!",1.0,04/08/2023 14:48:41
8,Calgary,African Choice Market,93.0,4.2,ChdDSUhNMG9nS0VJQ0FnSUNSdklQaHpBRRAB,"Very nice atmosphere, the madam there was very polite and the prices were really good. I will definitely be coming here again",5.0,03/27/2023 23:33:09
9,Calgary,African Choice Market,93.0,4.2,ChdDSUhNMG9nS0VJQ0FnSURldTdub293RRAB,"The 2 stars is for Great staff, 0 star for bad product. I bought African Choice palm Oil ended up ruining my food. Palm Oil in bean porridge turned out vegetable oil in beans with bad taste and smell. My good intentions of providing good food for my family was tinted badly by an African Choice brand palm Oil wasting by hard earned resources.😡",2.0,10/20/2022 13:54:17
