name,review_text
African Variety Store,You will find Ethiopian traditional items and raw materials (teff and wheat) for Injera and bread
African Variety Store,"According to AHS found dead mouse in store with mouse dropping, meat thawing at room temperature. Foodborne pathogens multiply quickly at room temperature. With food born pathogens they do not neccesarily have a smell or taste off to be bad. Please learn from this."
African Variety Store,"Good selection of ethiopian  species , grain, cultural items. You can also find   meat , farm chicken and whole lamb"
African Variety Store,Very friendly people from my home country ethiopian.  Always good service and friendly community.
African Variety Store,It's best place to get Ethiopian spices and food staffs
African Variety Store,It was a great fresh whole lamb
African Variety Store,"Their berbere is not the right one,,,,"
African Choice Market,"I went to return an item (white seed melon) I bought less than 10 days with proof of my receipt. The owner of the store told me I wouldn’t get a refund due to “so called food handling”. This was a dry product in its original packaging and unopened. The product had no expiry date on the package when I bought it, the receipt had no return policy whatsoever. So what gives them the right to tell me about handling?

This is a store I have seen expired palm oils on the shelf severally but the store owner had the audacity to preach to me about food handling. I want to point out the double standard and hypocrisy. I’m definitely boycotting that store but will file a complaint to Consumer Protection Services. Shame on them!"
African Choice Market,"Very nice atmosphere, the madam there was very polite and the prices were really good. I will definitely be coming here again"
African Choice Market,"The 2 stars is for Great staff, 0 star for bad product. I bought African Choice palm Oil ended up ruining my food. Palm Oil in bean porridge turned out vegetable oil in beans with bad taste and smell. My good intentions of providing good food for my family was tinted badly by an African Choice brand palm Oil wasting by hard earned resources.😡"
African Choice Market,"I have been a long time customer of this store and have always had great experience. However, recently, with the change in staffing my experiences has been less than pleasant. Today, I attended to do my regular shopping as usual and noticed that their prices has increase drastically. I was buying this items for my mom, who is not in Calgary. I bought a pepper, even though there was no price anywhere the item was located. It occurred to me after leaving the store to check with my mom whether or not she would be fine with the 10 dollar price on such a small amount of pepper. She said not to buy it and to return it. I returned to the store less than 5 minutes later only for them to be telling me that they are not doing returns due to covid 19. Which is understandable. However, this needs to be made aware to all customers when arriving at the door not behind your counter where no one ever thought to look. further, there is nothing preventing your store associates  mention that to every customers to further reinforce that information. After the store associate realized that I was going to stay there as long as it takes for her to refund my money, she did. This experience left a bad taste in my mouth and would like to see improvement."
African Choice Market,"Being a business within other businesses, parking was a nightmare! The store manager was such a warm and friendly lady, helped with the shopping experience. The aisles are pretty small and could be really inconvenient for multiple shoppers. I had a good experience at the store, I won't mind shopping there again."
African Choice Market,They have garri and other African food products. You will enjoy visiting here.
African Choice Market,"Hours of operation is bad, open at 11? At least 10 would be great. Especially for those of us who like to start cooking in the morning, if it’s something you need from here buy it ahead lol
The comment below about $10 pepper lol me too my bf bought it and later told me the price, I screamed! African stores always have no refund policies (what is that about🙄) They lied about Covid reason and plus the peppers are in the package. if superstore would take something I touched back, why can’t they?
Overall service is great though, just need to improve the way they run certain things!"
