city,name,id,text,rating,time_created
Calgary,African Choice Market,9lrjjE_MGLV_RLCYVMVm7w,"A small grocery store with largely West African prices. Went here for red palm oil (a.k.a. dende oil in Bahian cooking), but also perused the three isles...",3,2016-06-09 20:51:38
Calgary,De Chosen African Market,nUWqBqjacobXxOAIptXd0A,"Northeast location 
Unit 116, 6800 Memorial Drive NE
Calgary, AB T2A 6V3
 403-204-1580
Monday - Saturday
11:00am to 8:00pm
Sunday 12:30pm to 6:00pm

South...",5,2018-09-07 05:18:20
Calgary,De Chosen African Market,RKQzNqJBzlptijZWH1Ahog,"****BEWARE OF SCAMMERS****

I went to the location to purchase a new Andis T professional beard and hair trimmer.  Originally the location had 2 in stock...",1,2023-05-12 10:10:43
Calgary,De Chosen African Market,O5ttSqUbjK2iXn4i6eLMdQ,"Well I've been looking for something as simple as Potato Flakes for camp use.  I found there here at this market, it too bad they are lying thieving scum...",1,2020-07-06 16:51:18
Calgary,Safari Grill,yEFclSpJASmUbpFVLYRcpw,"Well, we did have a reservation, but 14 of us descended on this out of the way gem. Our group of work mates wanted a social visit and a great meal. When we...",5,2018-09-21 13:28:38
Calgary,Safari Grill,cNIywC-gHouEvFG_RWr0zg,"My family and I were in town on Sunday evening and decided we wanted to enjoy east African cuisine. We found the restaurant decor to be very tacky. 
The...",1,2020-11-10 15:02:58
Calgary,Safari Grill,LSYQY1VTVB4hCHFDNc4MuA,Came here with my colleague. She was right this place is pretty good. I loved it. I got the beef ribs and they were amazing. Well I got it mild. SO good....,4,2017-07-06 21:29:42
Calgary,Gods Glory African & West Indian Market,yEFclSpJASmUbpFVLYRcpw,"Well, we did have a reservation, but 14 of us descended on this out of the way gem. Our group of work mates wanted a social visit and a great meal. When we...",5,2018-09-21 13:28:38
Calgary,Gods Glory African & West Indian Market,cNIywC-gHouEvFG_RWr0zg,"My family and I were in town on Sunday evening and decided we wanted to enjoy east African cuisine. We found the restaurant decor to be very tacky. 
The...",1,2020-11-10 15:02:58
Calgary,Gods Glory African & West Indian Market,LSYQY1VTVB4hCHFDNc4MuA,Came here with my colleague. She was right this place is pretty good. I loved it. I got the beef ribs and they were amazing. Well I got it mild. SO good....,4,2017-07-06 21:29:42
